id,prix,surface,pieces,ville,prix_log,surface_log,type_bien_APPARTEMENT,type_bien_AUTRE,type_bien_MAISON,type_bien_PARKING,type_bien_TERRAIN,cluster
978,580000,85.0,4.0,329579.08612859534,13.270785106659046,4.454347296253507,True,False,False,False,False,0
979,399000,85.0,4.0,294724.4957905081,12.896719202134523,4.454347296253507,True,False,False,False,False,0
980,281600,105.0,4.0,289134.0196000319,12.548246454396082,4.663439094112067,False,False,True,False,False,4
981,253000,92.0,4.0,287772.11483812716,12.441148720271016,4.532599493153256,False,False,True,False,False,4
982,315000,108.0,4.0,290724.4957905081,12.660331092405906,4.6913478822291435,False,False,True,False,False,4
983,210000,87.0,7.0,286096.2787652465,12.25486757159303,4.477336814478207,False,False,True,False,False,2
984,410900,110.0,5.0,298232.4732545759,12.926107588550702,4.709530201312334,False,False,True,False,False,7
985,169000,97.0,4.0,283772.11483812716,12.037659911047468,4.584967478670572,False,False,True,False,False,4
986,263800,81.0,4.0,285917.2671500279,12.482950310008736,4.406719247264253,False,False,True,False,False,4
987,147537,44.0,2.0,300290.0522815063,11.901841048700488,3.8066624897703196,True,False,False,False,False,5
988,317900,132.0,6.0,313959.7459818486,12.669495292537231,4.890349128221754,False,False,True,False,False,7
989,273000,176.0,8.0,288724.4957905081,12.51723073716405,5.176149732573829,False,False,True,False,False,2
990,317700,101.0,5.0,290853.06721907953,12.668865967876197,4.624972813284271,False,False,True,False,False,7
991,369000,83.0,3.0,293295.92436193663,12.818554633046093,4.430816798843313,True,False,False,False,False,0
992,258475,73.0,3.0,313699.6584387313,12.462558125293526,4.30406509320417,True,False,False,False,False,0
993,427846,120.0,5.0,299820.92780003045,12.966520934018416,4.795790545596741,False,False,True,False,False,7
994,429000,70.0,3.0,286430.36029001675,12.969214528909768,4.2626798770413155,False,False,True,False,False,4
995,316900,110.0,5.0,290814.97198098426,12.666344701243613,4.709530201312334,False,False,True,False,False,7
996,430000,130.0,5.0,296200.6862666986,12.971542813248437,4.875197323201151,False,False,True,False,False,7
997,176700,102.0,4.0,284138.7815047938,12.082214317601338,4.634728988229636,False,False,True,False,False,4
999,295000,40.0,2.0,288680.5764640268,12.59473402514672,3.713572066704308,False,False,True,False,False,5
1000,630000,166.0,7.0,331118.0178956813,13.353476685668044,5.117993812416755,False,False,True,False,False,2
1001,206200,85.0,5.0,285543.5434095557,12.23660670021376,4.454347296253507,False,False,True,False,False,7
1002,94000,17.0,1.0,290909.2459818486,11.451060699493427,2.8903717578961645,True,False,False,False,False,5
1003,381425,160.0,7.0,293887.5910286033,12.85167213972536,5.081404364984463,False,False,True,False,False,2
1004,242000,86.0,4.0,287248.30531431764,12.396697137361691,4.465908118654584,False,False,True,False,False,4
1005,760000,170.0,6.0,311914.97198098426,13.541075028051122,5.14166355650266,False,False,True,False,False,7
1006,262900,94.0,4.0,288243.5434095557,12.479532814438391,4.553876891600541,False,False,True,False,False,4
1007,249000,101.0,5.0,287581.63864765095,12.425212191503038,4.624972813284271,False,False,True,False,False,7
1008,178000,156.0,5.0,284200.6862666986,12.08954444723597,5.056245805348308,False,False,True,False,False,7
1009,244000,61.0,3.0,287343.5434095557,12.404927602627597,4.127134385045092,True,False,False,False,False,0
1010,170000,200.0,4.686456400742115,283819.73388574616,12.04355959836804,5.303304908059076,False,False,False,False,True,6
1011,155000,48.0,2.0,299548.5764640268,11.951186847493476,3.8918202981106265,True,False,False,False,False,5
1012,296800,124.0,6.0,289857.8291238414,12.600817159541924,4.8283137373023015,False,False,True,False,False,7
1013,350000,122.0,6.0,292653.7459818486,12.765691290604371,4.812184355372417,False,False,True,False,False,7
1014,320000,154.0,4.0,290962.5910286033,12.676079399771027,5.043425116919247,False,True,False,False,False,4
1015,180000,26.0,1.0,290810.1004833612,12.100717685412471,3.295836866004329,True,False,False,False,False,5
1016,435000,144.0,6.0,296438.7815047938,12.983103608918753,4.976733742420574,False,False,True,False,False,7
1017,209900,41.0,2.0,285719.73388574616,12.254391269970792,3.7376696182833684,True,False,False,False,False,5
