id,prix,surface,pieces,ville,prix_log,type_bien_APPARTEMENT,type_bien_AUTRE,type_bien_MAISON,type_bien_PARKING,type_bien_TERRAIN
69,329680,78.0,3.0,376108.7647000239,12.705880799252457,True,False,False,False,False
71,104900,50.0,2.0,277005.20052730315,11.560772327227417,True,False,False,False,False
72,275600,55.0,3.0,297263.1004833612,12.526709446562082,False,False,True,False,False
73,203800,47.0,2.0,288680.5764640268,12.224899306530068,True,False,False,False,False
74,630000,43.0,2.0,411694.6446055649,13.353476685668044,True,False,False,False,False
75,525000,188.0,5.0,300724.4957905081,13.171155446333852,False,False,True,False,False
76,285000,70.0,4.0,304325.4640500093,12.560247968016562,True,False,False,False,False
77,99000,67.0,4.0,280438.7815047938,11.502885230075814,True,False,False,False,False
80,172000,14.0,1.0,411694.6446055649,12.055255569732177,True,False,False,False,False
81,275000,88.0,4.0,288146.1096182123,12.524530013005734,False,False,True,False,False
82,189000,68.0,4.0,281782.4732545759,12.149507585033072,True,False,False,False,False
84,89900,405.0,4.686456400742115,283277.92780003045,11.40646434386837,False,False,False,False,True
85,183000,86.0,4.0,284438.7815047938,12.117246896289503,False,False,True,False,False
86,850000,310.0,8.0,321758.9338166946,13.652992804936396,False,False,True,False,False
87,577200,100.0,4.0,312291.5641636668,13.265945838382084,False,False,True,False,False
88,128400,182.0,8.0,281838.7815047938,11.762913458369663,False,True,False,False,False
89,865000,135.0,6.0,340009.7459818486,13.670485941982712,False,False,True,False,False
90,685000,140.0,6.0,308343.5434095557,13.437175577097312,False,False,True,False,False
91,599500,150.0,7.0,294350.65507275774,13.303852921505028,True,False,False,False,False
92,272500,112.0,4.0,270193.12635558035,12.515397562803473,False,False,True,False,False
95,189900,210.0,7.0,287641.5641636668,12.15425816271595,False,False,True,False,False
98,1049000,89.0,4.0,411694.6446055649,13.863348840666827,True,False,False,False,False
99,169900,125.0,7.0,283814.97198098426,12.042971193457888,False,False,True,False,False
100,153000,775.0,4.686456400742115,283010.21007622237,11.938199736300925,False,False,False,False,True
121,468000,102.4,4.0,296258.9338166946,13.056225711649638,False,False,True,False,False
122,235000,70.0,3.0,223836.16440001718,12.367345048436391,True,False,False,False,False
123,199900,128.0,6.0,285243.5434095557,12.20557752297723,False,False,True,False,False
164,439000,188.0,7.0,304079.08612859534,12.992256969959042,False,False,True,False,False
167,450000,160.0,6.0,297153.06721907953,13.017005083966255,False,False,True,False,False
169,72000,78.0,3.0,268582.4732545759,11.184435286790631,False,False,True,False,False
175,495000,162.0,7.0,297918.83689093956,13.112315061750808,False,False,True,False,False
176,930000,100.0,5.0,411694.6446055649,13.742940940397677,True,False,False,False,False
177,167000,67.0,4.686456400742115,283676.87674288906,12.025755079404917,True,False,False,False,False
179,242500,69.0,3.0,305681.28506156424,12.398761113062513,True,False,False,False,False
180,636000,179.0,7.0,306010.21007622237,13.362955414648066,False,False,True,False,False
181,375000,234.0,9.0,293581.63864765095,12.834683971615659,True,False,False,False,False
183,349000,110.0,4.686456400742115,285827.92780003045,12.762830066509972,False,False,True,False,False
184,1150000,200.0,6.0,371075.5147000239,13.955273369904273,False,False,True,False,False
185,144000,75.0,4.0,277759.7459818486,11.87757552297847,False,False,True,False,False
187,145000,48.0,2.0,285232.4732545759,11.884495917930655,True,False,False,False,False
189,420000,240.0,4.686456400742115,295724.4957905081,12.948012371209098,False,False,True,False,False
190,695000,206.0,9.0,308819.73388574616,13.451668563394815,False,False,True,False,False
191,203000,38.0,2.0,308400.6265913335,12.220966184120165,True,False,False,False,False
192,210000,150.0,7.0,285724.4957905081,12.25486757159303,False,False,True,False,False
193,387000,211.0,7.0,294384.7459818486,12.866182555987908,False,False,True,False,False
195,239000,243.0,7.0,278100.65507275774,12.384223015005313,False,False,True,False,False
197,160000,110.0,4.0,283343.5434095557,11.982935344196433,False,False,True,False,False
198,340000,130.0,4.686456400742115,280423.63121541037,12.73670383776449,False,False,True,False,False
199,218000,46.0,2.0,266972.32536252093,12.292254928916668,True,False,False,False,False
200,98000,19.0,1.0,318445.8912606264,11.49273296168228,True,False,False,False,False
201,200000,29.0,1.0,281327.92780003045,12.206077645517674,True,False,False,False,False
202,91500,113.0,5.0,280081.63864765095,11.424105180165641,False,False,True,False,False
203,70000,65.0,4.0,259489.83065456574,11.156264806643742,True,False,False,False,False
204,330000,194.0,5.0,291438.7815047938,12.706850963741102,False,False,True,False,False
206,229000,90.0,5.0,325882.0320818334,12.34148164933907,True,False,False,False,False
207,148000,1502.0,4.686456400742115,282772.11483812716,11.904974309480183,False,False,False,False,True
208,669000,131.0,4.0,321795.8912606264,13.41354083387756,True,False,False,False,False
210,418000,71.0,4.0,295629.25769527,12.94323910384853,False,False,True,False,False
211,242000,85.0,4.0,287248.30531431764,12.396697137361691,False,False,True,False,False
212,182000,93.0,4.0,321795.8912606264,12.111767460549332,True,False,False,False,False
213,252000,60.0,3.0,287724.4957905081,12.437188334739655,False,False,True,False,False
214,250000,140.0,4.686456400742115,287629.25769527,12.429220196836383,False,False,True,False,False
215,790000,157.0,4.686456400742115,313343.5434095557,13.579789490265188,False,False,True,False,False
217,191500,90.0,3.0,284843.5434095557,12.162648309521318,False,False,True,False,False
